,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
46,Sáb,2022-09-03,18:30 ,Eint Frankfurt,0.2,4–0,RB Leipzig,"49,700",Deutsche Bank Park,Felix Brych,Informe del partido
47,Dom,2022-09-04,15:30 ,Augsburg,2.1,0–2,Hertha BSC,"25,789",WWK Arena,Harm Osmers,Informe del partido
48,Dom,2022-09-04,17:30 ,M'Gladbach,0.6,0–1,Mainz 05,"51,210",Stadion im Borussia-Park,Deniz Aytekin,Informe del partido
49,,,,,,,,,,,
50,Vie,2022-09-09,20:30 ,Werder Bremen,1.0,0–1,Augsburg,"41,000",Wohninvest-Weserstadion,Martin Petersen,Informe del partido
51,Sáb,2022-09-10,15:30 ,Bayern Munich,1.2,2–2,Stuttgart,"75,000",Allianz Arena,Christian Dingert,Informe del partido
52,Sáb,2022-09-10,15:30 ,Eint Frankfurt,1.0,0–1,Wolfsburg,"49,000",Deutsche Bank Park,Tobias Reichel,Informe del partido
53,Sáb,2022-09-10,15:30 ,Hertha BSC,1.3,2–2,Leverkusen,"40,643",Olympiastadion Berlin,Benjamin Brand,Informe del partido
54,Sáb,2022-09-10,15:30 ,Hoffenheim,0.7,4–1,Mainz 05,"20,114",PreZero Arena,Daniel Schlager,Informe del partido
55,Sáb,2022-09-10,15:30 ,RB Leipzig,0.6,3–0,Dortmund,"47,069",Red Bull Arena,Sven Jablonski,Informe del partido
56,Sáb,2022-09-10,18:30 ,Schalke 04,1.1,3–1,Bochum,"62,041",Veltins-Arena,Felix Zwayer,Informe del partido
57,Dom,2022-09-11,15:30 ,Köln,1.5,0–1,Union Berlin,"49,500",RheinEnergieSTADION,Benjamin Cortus,Informe del partido
58,Dom,2022-09-11,17:30 ,Freiburg,1.2,0–0,M'Gladbach,"34,700",Europa-Park Stadion,Tobias Stieler,Informe del partido
59,,,,,,,,,,,
60,Vie,2022-09-16,20:30 ,Mainz 05,0.4,1–1,Hertha BSC,"25,300",Mewa Arena,Frank Willenborg,Informe del partido
61,Sáb,2022-09-17,15:30 ,Dortmund,0.1,1–0,Schalke 04,"81,100",Signal Iduna Park,Felix Brych,Informe del partido
62,Sáb,2022-09-17,15:30 ,Leverkusen,2.1,1–1,Werder Bremen,"30,210",BayArena,Tobias Welz,Informe del partido
63,Sáb,2022-09-17,15:30 ,Stuttgart,1.0,1–3,Eint Frankfurt,"47,500",Mercedes-Benz Arena,Daniel Siebert,Informe del partido
64,Sáb,2022-09-17,15:30 ,Augsburg,1.6,1–0,Bayern Munich,"30,660",WWK Arena,Marco Fritz,Informe del partido
65,Sáb,2022-09-17,18:30 ,M'Gladbach,0.9,3–0,RB Leipzig,"50,186",Stadion im Borussia-Park,Patrick Ittrich,Informe del partido
