,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
208,Dom,2023-02-19,19:30 ,Leverkusen,,,Mainz 05,,BayArena,,Cara a cara
209,,,,,,,,,,,
210,Vie,2023-02-24,20:30 ,Mainz 05,,,M'Gladbach,,Mewa Arena,,Cara a cara
211,Sáb,2023-02-25,15:30 ,Hertha BSC,,,Augsburg,,Olympiastadion Berlin,,Cara a cara
212,Sáb,2023-02-25,15:30 ,Hoffenheim,,,Dortmund,,PreZero Arena,,Cara a cara
213,Sáb,2023-02-25,15:30 ,Werder Bremen,,,Bochum,,Wohninvest-Weserstadion,,Cara a cara
214,Sáb,2023-02-25,15:30 ,Köln,,,Wolfsburg,,RheinEnergieSTADION,,Cara a cara
215,Sáb,2023-02-25,15:30 ,RB Leipzig,,,Eint Frankfurt,,Red Bull Arena,,Cara a cara
216,Sáb,2023-02-25,18:30 ,Schalke 04,,,Stuttgart,,Veltins-Arena,,Cara a cara
217,Dom,2023-02-26,15:30 ,Freiburg,,,Leverkusen,,Europa-Park Stadion,,Cara a cara
218,Dom,2023-02-26,17:30 ,Bayern Munich,,,Union Berlin,,Allianz Arena,,Cara a cara
219,,,,,,,,,,,
220,Vie,2023-03-03,20:30 ,Dortmund,,,RB Leipzig,,Signal Iduna Park,,Cara a cara
221,Sáb,2023-03-04,15:30 ,Bochum,,,Schalke 04,,Vonovia Ruhrstadion,,Cara a cara
222,Sáb,2023-03-04,15:30 ,M'Gladbach,,,Freiburg,,Stadion im Borussia-Park,,Cara a cara
223,Sáb,2023-03-04,15:30 ,Mainz 05,,,Hoffenheim,,Mewa Arena,,Cara a cara
224,Sáb,2023-03-04,15:30 ,Augsburg,,,Werder Bremen,,WWK Arena,,Cara a cara
225,Sáb,2023-03-04,15:30 ,Union Berlin,,,Köln,,Stadion An der Alten Försterei,,Cara a cara
226,Sáb,2023-03-04,18:30 ,Stuttgart,,,Bayern Munich,,Mercedes-Benz Arena,,Cara a cara
227,Dom,2023-03-05,15:30 ,Leverkusen,,,Hertha BSC,,BayArena,,Cara a cara
228,Dom,2023-03-05,17:30 ,Wolfsburg,,,Eint Frankfurt,,Volkswagen Arena,,Cara a cara
229,,,,,,,,,,,
230,Vie,2023-03-10,20:30 ,Köln,,,Bochum,,RheinEnergieSTADION,,Cara a cara
231,Sáb,2023-03-11,15:30 ,Eint Frankfurt,,,Stuttgart,,Deutsche Bank Park,,Cara a cara
232,Sáb,2023-03-11,15:30 ,Bayern Munich,,,Augsburg,,Allianz Arena,,Cara a cara
233,Sáb,2023-03-11,15:30 ,Hertha BSC,,,Mainz 05,,Olympiastadion Berlin,,Cara a cara
234,Sáb,2023-03-11,15:30 ,RB Leipzig,,,M'Gladbach,,Red Bull Arena,,Cara a cara
235,Sáb,2023-03-11,18:30 ,Schalke 04,,,Dortmund,,Veltins-Arena,,Cara a cara
236,Dom,2023-03-12,15:30 ,Freiburg,,,Hoffenheim,,Europa-Park Stadion,,Cara a cara
237,Dom,2023-03-12,17:30 ,Werder Bremen,,,Leverkusen,,Wohninvest-Weserstadion,,Cara a cara
238,Dom,2023-03-12,19:30 ,Wolfsburg,,,Union Berlin,,Volkswagen Arena,,Cara a cara
239,,,,,,,,,,,
240,Vie,2023-03-17,20:30 ,M'Gladbach,,,Werder Bremen,,Stadion im Borussia-Park,,Cara a cara
241,Sáb,2023-03-18,15:30 ,Augsburg,,,Schalke 04,,WWK Arena,,Cara a cara
242,Sáb,2023-03-18,15:30 ,Stuttgart,,,Wolfsburg,,Mercedes-Benz Arena,,Cara a cara
243,Sáb,2023-03-18,15:30 ,Hoffenheim,,,Hertha BSC,,PreZero Arena,,Cara a cara
244,Sáb,2023-03-18,15:30 ,Bochum,,,RB Leipzig,,Vonovia Ruhrstadion,,Cara a cara
245,Sáb,2023-03-18,18:30 ,Dortmund,,,Köln,,Signal Iduna Park,,Cara a cara
246,Dom,2023-03-19,15:30 ,Union Berlin,,,Eint Frankfurt,,Stadion An der Alten Försterei,,Cara a cara
247,Dom,2023-03-19,17:30 ,Leverkusen,,,Bayern Munich,,BayArena,,Cara a cara
248,Dom,2023-03-19,19:30 ,Mainz 05,,,Freiburg,,Mewa Arena,,Cara a cara
249,,,,,,,,,,,
250,Sáb,2023-04-01,,Werder Bremen,,,Hoffenheim,,Wohninvest-Weserstadion,,Cara a cara
251,Sáb,2023-04-01,,Union Berlin,,,Stuttgart,,Stadion An der Alten Försterei,,Cara a cara
252,Sáb,2023-04-01,,Wolfsburg,,,Augsburg,,Volkswagen Arena,,Cara a cara
253,Sáb,2023-04-01,,Schalke 04,,,Leverkusen,,Veltins-Arena,,Cara a cara
254,Sáb,2023-04-01,,Eint Frankfurt,,,Bochum,,Deutsche Bank Park,,Cara a cara
255,Sáb,2023-04-01,,RB Leipzig,,,Mainz 05,,Red Bull Arena,,Cara a cara
256,Sáb,2023-04-01,,Bayern Munich,,,Dortmund,,Allianz Arena,,Cara a cara
257,Sáb,2023-04-01,,Köln,,,M'Gladbach,,RheinEnergieSTADION,,Cara a cara
258,Sáb,2023-04-01,,Freiburg,,,Hertha BSC,,Europa-Park Stadion,,Cara a cara
259,,,,,,,,,,,
260,Sáb,2023-04-08,,Dortmund,,,Union Berlin,,Signal Iduna Park,,Cara a cara
261,Sáb,2023-04-08,,Freiburg,,,Bayern Munich,,Europa-Park Stadion,,Cara a cara
262,Sáb,2023-04-08,,M'Gladbach,,,Wolfsburg,,Stadion im Borussia-Park,,Cara a cara
263,Sáb,2023-04-08,,Hertha BSC,,,RB Leipzig,,Olympiastadion Berlin,,Cara a cara
264,Sáb,2023-04-08,,Mainz 05,,,Werder Bremen,,Mewa Arena,,Cara a cara
265,Sáb,2023-04-08,,Hoffenheim,,,Schalke 04,,PreZero Arena,,Cara a cara
266,Sáb,2023-04-08,,Leverkusen,,,Eint Frankfurt,,BayArena,,Cara a cara
267,Sáb,2023-04-08,,Bochum,,,Stuttgart,,Vonovia Ruhrstadion,,Cara a cara
268,Sáb,2023-04-08,,Augsburg,,,Köln,,WWK Arena,,Cara a cara
269,,,,,,,,,,,
270,Sáb,2023-04-15,,Werder Bremen,,,Freiburg,,Wohninvest-Weserstadion,,Cara a cara
271,Sáb,2023-04-15,,Eint Frankfurt,,,M'Gladbach,,Deutsche Bank Park,,Cara a cara
272,Sáb,2023-04-15,,Wolfsburg,,,Leverkusen,,Volkswagen Arena,,Cara a cara
273,Sáb,2023-04-15,,Union Berlin,,,Bochum,,Stadion An der Alten Försterei,,Cara a cara
274,Sáb,2023-04-15,,Bayern Munich,,,Hoffenheim,,Allianz Arena,,Cara a cara
275,Sáb,2023-04-15,,Köln,,,Mainz 05,,RheinEnergieSTADION,,Cara a cara
276,Sáb,2023-04-15,,Stuttgart,,,Dortmund,,Mercedes-Benz Arena,,Cara a cara
277,Sáb,2023-04-15,,Schalke 04,,,Hertha BSC,,Veltins-Arena,,Cara a cara
278,Sáb,2023-04-15,,RB Leipzig,,,Augsburg,,Red Bull Arena,,Cara a cara
279,,,,,,,,,,,
280,Sáb,2023-04-22,,Augsburg,,,Stuttgart,,WWK Arena,,Cara a cara
281,Sáb,2023-04-22,,Leverkusen,,,RB Leipzig,,BayArena,,Cara a cara
282,Sáb,2023-04-22,,Mainz 05,,,Bayern Munich,,Mewa Arena,,Cara a cara
283,Sáb,2023-04-22,,Bochum,,,Wolfsburg,,Vonovia Ruhrstadion,,Cara a cara
284,Sáb,2023-04-22,,Dortmund,,,Eint Frankfurt,,Signal Iduna Park,,Cara a cara
285,Sáb,2023-04-22,,Hertha BSC,,,Werder Bremen,,Olympiastadion Berlin,,Cara a cara
286,Sáb,2023-04-22,,Hoffenheim,,,Köln,,PreZero Arena,,Cara a cara
287,Sáb,2023-04-22,,M'Gladbach,,,Union Berlin,,Stadion im Borussia-Park,,Cara a cara
288,Sáb,2023-04-22,,Freiburg,,,Schalke 04,,Europa-Park Stadion,,Cara a cara
289,,,,,,,,,,,
290,Sáb,2023-04-29,,Köln,,,Freiburg,,RheinEnergieSTADION,,Cara a cara
291,Sáb,2023-04-29,,Bochum,,,Dortmund,,Vonovia Ruhrstadion,,Cara a cara
292,Sáb,2023-04-29,,Stuttgart,,,M'Gladbach,,Mercedes-Benz Arena,,Cara a cara
293,Sáb,2023-04-29,,RB Leipzig,,,Hoffenheim,,Red Bull Arena,,Cara a cara
294,Sáb,2023-04-29,,Union Berlin,,,Leverkusen,,Stadion An der Alten Försterei,,Cara a cara
295,Sáb,2023-04-29,,Bayern Munich,,,Hertha BSC,,Allianz Arena,,Cara a cara
296,Sáb,2023-04-29,,Wolfsburg,,,Mainz 05,,Volkswagen Arena,,Cara a cara
297,Sáb,2023-04-29,,Schalke 04,,,Werder Bremen,,Veltins-Arena,,Cara a cara
298,Sáb,2023-04-29,,Eint Frankfurt,,,Augsburg,,Deutsche Bank Park,,Cara a cara
299,,,,,,,,,,,
300,Sáb,2023-05-06,,Hoffenheim,,,Eint Frankfurt,,PreZero Arena,,Cara a cara
301,Sáb,2023-05-06,,Hertha BSC,,,Stuttgart,,Olympiastadion Berlin,,Cara a cara
302,Sáb,2023-05-06,,Freiburg,,,RB Leipzig,,Europa-Park Stadion,,Cara a cara
303,Sáb,2023-05-06,,Leverkusen,,,Köln,,BayArena,,Cara a cara
304,Sáb,2023-05-06,,Werder Bremen,,,Bayern Munich,,Wohninvest-Weserstadion,,Cara a cara
305,Sáb,2023-05-06,,Mainz 05,,,Schalke 04,,Mewa Arena,,Cara a cara
306,Sáb,2023-05-06,,M'Gladbach,,,Bochum,,Stadion im Borussia-Park,,Cara a cara
307,Sáb,2023-05-06,,Dortmund,,,Wolfsburg,,Signal Iduna Park,,Cara a cara
308,Sáb,2023-05-06,,Augsburg,,,Union Berlin,,WWK Arena,,Cara a cara
309,,,,,,,,,,,
310,Sáb,2023-05-13,,RB Leipzig,,,Werder Bremen,,Red Bull Arena,,Cara a cara
311,Sáb,2023-05-13,,Eint Frankfurt,,,Mainz 05,,Deutsche Bank Park,,Cara a cara
312,Sáb,2023-05-13,,Stuttgart,,,Leverkusen,,Mercedes-Benz Arena,,Cara a cara
313,Sáb,2023-05-13,,Köln,,,Hertha BSC,,RheinEnergieSTADION,,Cara a cara
314,Sáb,2023-05-13,,Wolfsburg,,,Hoffenheim,,Volkswagen Arena,,Cara a cara
315,Sáb,2023-05-13,,Dortmund,,,M'Gladbach,,Signal Iduna Park,,Cara a cara
316,Sáb,2023-05-13,,Union Berlin,,,Freiburg,,Stadion An der Alten Försterei,,Cara a cara
317,Sáb,2023-05-13,,Bochum,,,Augsburg,,Vonovia Ruhrstadion,,Cara a cara
318,Sáb,2023-05-13,,Bayern Munich,,,Schalke 04,,Allianz Arena,,Cara a cara
319,,,,,,,,,,,
320,Sáb,2023-05-20,,Schalke 04,,,Eint Frankfurt,,Veltins-Arena,,Cara a cara
321,Sáb,2023-05-20,,Werder Bremen,,,Köln,,Wohninvest-Weserstadion,,Cara a cara
322,Sáb,2023-05-20,,Mainz 05,,,Stuttgart,,Mewa Arena,,Cara a cara
323,Sáb,2023-05-20,,Freiburg,,,Wolfsburg,,Europa-Park Stadion,,Cara a cara
324,Sáb,2023-05-20,,Augsburg,,,Dortmund,,WWK Arena,,Cara a cara
325,Sáb,2023-05-20,,Hertha BSC,,,Bochum,,Olympiastadion Berlin,,Cara a cara
326,Sáb,2023-05-20,,Bayern Munich,,,RB Leipzig,,Allianz Arena,,Cara a cara
327,Sáb,2023-05-20,,Leverkusen,,,M'Gladbach,,BayArena,,Cara a cara
328,Sáb,2023-05-20,,Hoffenheim,,,Union Berlin,,PreZero Arena,,Cara a cara
329,,,,,,,,,,,
330,Sáb,2023-05-27,,RB Leipzig,,,Schalke 04,,Red Bull Arena,,Cara a cara
331,Sáb,2023-05-27,,Bochum,,,Leverkusen,,Vonovia Ruhrstadion,,Cara a cara
332,Sáb,2023-05-27,,Union Berlin,,,Werder Bremen,,Stadion An der Alten Försterei,,Cara a cara
333,Sáb,2023-05-27,,Eint Frankfurt,,,Freiburg,,Deutsche Bank Park,,Cara a cara
334,Sáb,2023-05-27,,Dortmund,,,Mainz 05,,Signal Iduna Park,,Cara a cara
335,Sáb,2023-05-27,,M'Gladbach,,,Augsburg,,Stadion im Borussia-Park,,Cara a cara
336,Sáb,2023-05-27,,Stuttgart,,,Hoffenheim,,Mercedes-Benz Arena,,Cara a cara
337,Sáb,2023-05-27,,Wolfsburg,,,Hertha BSC,,Volkswagen Arena,,Cara a cara
338,Sáb,2023-05-27,,Köln,,,Bayern Munich,,RheinEnergieSTADION,,Cara a cara
